experiment_id,search_method,model_setting,profile_setting,rna_encoder,image_encoder,aggregation,fusion,experiment,status,val_accuracy,val_f1,test_accuracy,test_f1,selection_reason,experiment_summary,started_at,finished_at,return_code,run_directory,log_file,error_message
random_001,random,rna_only,singleprofile,scvi_n200,,,,rnaseq/singleprofile/train_on_scvi_n200,completed,0.5242751240730286,0.49714577198028564,,,Random-search configuration evaluated with calibrated proxy training.,,2026-08-12T11:51:39,2026-08-12T11:52:34,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/proxy/proxy_random_001_20260812_115139,/homes/55/gitanjali/scGeneScope/experiments/search/logs/proxy/proxy_random_001_20260812_115139.log,
random_002,random,rna_only,singleprofile,pca_n2000,,,,rnaseq/singleprofile/train_on_pca_n2000,completed,0.47310519218444824,0.44441714882850647,,,Random-search configuration evaluated with calibrated proxy training.,,2026-08-12T11:52:34,2026-08-12T11:53:02,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/proxy/proxy_random_002_20260812_115234,/homes/55/gitanjali/scGeneScope/experiments/search/logs/proxy/proxy_random_002_20260812_115234.log,
random_003,random,rna_only,multiprofile,scgpt,,transformer,,rnaseq/multiprofile/train_transformerpool_on_scgpt,completed,0.46983104944229126,0.45924848318099976,,,Random-search configuration evaluated with calibrated proxy training.,,2026-08-12T11:53:02,2026-08-12T12:01:45,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/proxy/proxy_random_003_20260812_115302,/homes/55/gitanjali/scGeneScope/experiments/search/logs/proxy/proxy_random_003_20260812_115302.log,
random_004,random,rna_only,multiprofile,scgpt,,avgpool,,rnaseq/multiprofile/train_avgpool_on_scgpt,completed,0.46048229932785034,0.4334520101547241,,,Random-search configuration evaluated with calibrated proxy training.,,2026-08-12T12:01:46,2026-08-12T12:04:00,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/proxy/proxy_random_004_20260812_120146,/homes/55/gitanjali/scGeneScope/experiments/search/logs/proxy/proxy_random_004_20260812_120146.log,
random_005,random,multimodal,multiprofile,scgpt,imagenet_vit_l,avgpool,concat,multimodal/multiprofile/train_avgpool_on_scgpt_with_concat_imagenet_vit_l,completed,0.5671330690383911,0.5226061940193176,,,Random-search configuration evaluated with calibrated proxy training.,,2026-08-12T12:04:01,2026-08-12T12:49:24,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/proxy/proxy_random_005_20260812_120401,/homes/55/gitanjali/scGeneScope/experiments/search/logs/proxy/proxy_random_005_20260812_120401.log,
random_006,random,rna_only,multiprofile,pca_n2000,,transformer,,rnaseq/multiprofile/train_transformerpool_on_pca_n2000,completed,0.5164362788200378,0.4748119115829468,,,Random-search configuration evaluated with calibrated proxy training.,,2026-08-12T12:49:24,2026-08-12T13:27:06,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/proxy/proxy_random_006_20260812_124924,/homes/55/gitanjali/scGeneScope/experiments/search/logs/proxy/proxy_random_006_20260812_124924.log,
random_007,random,image_only,multiprofile,,imagenet_vit_l,avgpool,,imaging/multiprofile/train_avgpool_on_concat_imagenet_vit_l,completed,0.3374180495738983,0.3055844008922577,,,Random-search configuration evaluated with calibrated proxy training.,,2026-08-12T13:27:07,2026-08-12T14:05:33,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/proxy/proxy_random_007_20260812_132707,/homes/55/gitanjali/scGeneScope/experiments/search/logs/proxy/proxy_random_007_20260812_132707.log,
random_008,random,rna_only,multiprofile,pca_n2000,,avgpool,,rnaseq/multiprofile/train_avgpool_on_pca_n2000,completed,0.5882553458213806,0.5630835890769958,,,Random-search configuration evaluated with calibrated proxy training.,,2026-08-11T12:59:27,2026-08-11T13:17:07,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/proxy/proxy_random_008_20260811_125927,/homes/55/gitanjali/scGeneScope/experiments/search/logs/proxy/proxy_random_008_20260811_125927.log,
random_009,random,image_only,singleprofile,,imagenet_vit_l,,,imaging/singleprofile/train_on_concat_imagenet_vit_l,completed,0.2241087108850479,0.18642202019691467,,,Random-search configuration evaluated with calibrated proxy training.,,2026-08-11T12:57:46,2026-08-11T12:59:05,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/proxy/proxy_random_009_20260811_125746,/homes/55/gitanjali/scGeneScope/experiments/search/logs/proxy/proxy_random_009_20260811_125746.log,
random_010,random,multimodal,multiprofile,scvi_n200,imagenet_vit_l,avgpool,concat,multimodal/multiprofile/train_avgpool_on_scvi_n200_with_concat_imagenet_vit_l,completed,0.7062333226203918,0.6720418930053711,,,Random-search configuration evaluated with calibrated proxy training.,,2026-08-12T11:18:11,2026-08-12T11:51:16,0,/homes/55/gitanjali/scGeneScope/experiments/search/runs/proxy/proxy_random_010_20260812_111811,/homes/55/gitanjali/scGeneScope/experiments/search/logs/proxy/proxy_random_010_20260812_111811.log,
